record,age,sex,weight,hungry,fast_food,fruit,vegetable,soft_drink,cigarette,alcohol
382,17,Male,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
383,15,Male,Average weight,Never,3 days,1 time per day,2 times per day,4 or more times per day,0 days,1 or 2 days
384,14,Male,NA,Sometimes,0 days,I did not eat fruit during the past 7 days,1 time per day,1 time per day,0 days,All 30 days
385,13,Male,NA,Sometimes,0 days,I did not eat fruit during the past 7 days,1 time per day,1 time per day,0 days,0 days
386,13,Male,NA,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,NA
387,13,Female,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
388,14,Female,NA,Never,2 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,0 days
389,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,2 times per day,0 days,0 days
390,14,Male,NA,Never,2 days,3 times per day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
391,13,Female,Average weight,Never,0 days,2 times per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
392,14,Female,Overweight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,NA,NA
393,14,Male,Average weight,Never,3 days,4 or more times per day,4 to 6 times during the past 7 days,1 time per day,0 days,3 to 5 days
394,16,Male,NA,Never,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,4 or more times per day,0 days,0 days
395,15,Female,NA,Never,1 day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
396,15,Female,NA,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
397,15,Male,Average weight,Never,3 days,4 or more times per day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,1 or 2 days
398,12,NA,NA,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,1 or 2 days
399,17,Male,NA,Never,0 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,3 to 5 days,6 to 9 days
400,14,Female,NA,Never,0 days,3 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
401,14,Male,NA,Sometimes,0 days,2 times per day,NA,3 times per day,0 days,1 or 2 days
402,14,Male,NA,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
403,15,Male,NA,Never,0 days,2 times per day,4 to 6 times during the past 7 days,1 time per day,6 to 9 days,1 or 2 days
404,15,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
405,17,Male,NA,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,3 times per day,3 to 5 days,10 to 19 days
406,15,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
407,17,Female,NA,Most of the time,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,All 30 days,3 to 5 days
408,15,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,1 or 2 days
409,16,Male,NA,Never,0 days,1 to 3 times during the past 7 days,4 or more times per day,I did not drink carbonated soft drinks,6 to 9 days,10 to 19 days
410,16,Male,Average weight,Rarely,1 day,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,All 30 days,10 to 19 days
411,17,Female,NA,Rarely,2 days,1 time per day,1 time per day,I did not drink carbonated soft drinks,1 or 2 days,6 to 9 days
412,16,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
413,15,Male,Overweight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,10 to 19 days
414,15,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,6 to 9 days,6 to 9 days
415,16,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,20 to 29 days
416,17,Male,Average weight,Rarely,0 days,2 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
417,16,Female,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,1 or 2 days
418,15,Female,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
419,NA,NA,NA,NA,0 days,I did not eat fruit during the past 7 days,NA,I did not drink carbonated soft drinks,0 days,0 days
420,16,NA,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
421,17,Female,Average weight,Sometimes,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,20 to 29 days,10 to 19 days
422,16,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
423,16,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,1 or 2 days,1 or 2 days
424,17,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,0 days,1 or 2 days
425,16,Female,NA,Never,1 day,2 times per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
426,15,Female,Overweight,Sometimes,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,All 30 days,3 to 5 days
427,15,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,3 to 5 days,1 or 2 days
428,16,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,2 times per day,0 days,1 or 2 days
429,13,Female,Overweight,Rarely,3 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,10 to 19 days
430,15,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
431,14,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,6 to 9 days
432,13,Male,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,0 days
433,14,Male,NA,NA,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
434,14,Male,Average weight,Never,3 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,10 to 19 days,6 to 9 days
435,13,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,3 times per day,4 or more times per day,0 days,1 or 2 days
436,13,Male,Overweight,Never,2 days,4 to 6 times during the past 7 days,1 time per day,2 times per day,0 days,0 days
437,13,Male,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,4 or more times per day,4 or more times per day,0 days,1 or 2 days
438,15,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
439,15,Female,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
440,14,Male,Average weight,Never,0 days,1 time per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
441,16,Male,NA,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,1 or 2 days
442,16,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
443,14,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
444,15,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
445,15,Male,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
446,16,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,All 30 days,3 to 5 days
447,16,Female,Overweight,Sometimes,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,0 days
448,18,Male,NA,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,All 30 days,20 to 29 days
449,16,NA,NA,Rarely,0 days,1 time per day,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
450,15,Male,NA,Never,0 days,1 time per day,I did not eat vegetables during the past 7 days,2 times per day,6 to 9 days,3 to 5 days
451,17,Male,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,All 30 days
452,17,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,2 times per day,All 30 days,6 to 9 days
453,16,Female,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
454,17,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,10 to 19 days,6 to 9 days
455,NA,NA,NA,Sometimes,7 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,6 to 9 days,3 to 5 days
456,13,Female,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
457,13,Female,Overweight,Never,0 days,1 time per day,2 times per day,3 times per day,0 days,0 days
458,14,Female,Overweight,Rarely,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
459,14,Female,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
460,15,Female,NA,Never,4 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,20 to 29 days,NA
461,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
462,14,Female,NA,Never,1 day,4 or more times per day,2 times per day,4 or more times per day,0 days,0 days
463,14,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
464,13,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
465,15,Male,Average weight,Rarely,1 day,4 to 6 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
466,16,Male,Overweight,Never,NA,1 time per day,1 to 3 times during the past 7 days,1 time per day,0 days,1 or 2 days
467,15,Female,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
468,14,Male,NA,Sometimes,0 days,4 or more times per day,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
469,13,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
470,13,Male,Overweight,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
471,14,Female,Overweight,Rarely,0 days,4 or more times per day,4 or more times per day,1 to 3 times during the past 7 days,10 to 19 days,3 to 5 days
472,15,Male,Average weight,Always,1 day,4 to 6 times during the past 7 days,2 times per day,1 time per day,0 days,0 days
473,13,Male,Average weight,Rarely,0 days,3 times per day,1 time per day,4 or more times per day,0 days,0 days
474,16,Male,NA,Most of the time,0 days,1 time per day,1 time per day,1 time per day,0 days,0 days
475,17,Male,NA,Never,1 day,I did not eat fruit during the past 7 days,2 times per day,4 or more times per day,0 days,3 to 5 days
476,14,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
477,16,Male,Overweight,Never,0 days,4 to 6 times during the past 7 days,3 times per day,3 times per day,0 days,0 days
478,14,Female,NA,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
479,16,Female,NA,Never,0 days,4 or more times per day,1 time per day,1 time per day,0 days,0 days
480,14,Male,Average weight,Rarely,1 day,4 or more times per day,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
481,15,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
482,15,Male,Overweight,Never,1 day,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
483,14,Male,Overweight,Never,0 days,1 time per day,3 times per day,2 times per day,0 days,0 days
484,15,Male,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,3 to 5 days
485,16,Female,Average weight,Sometimes,0 days,4 or more times per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
486,16,Male,NA,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
487,15,Female,Average weight,Sometimes,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,All 30 days,1 or 2 days
488,14,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
489,15,Male,Average weight,Rarely,2 days,2 times per day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
490,15,Female,Average weight,Sometimes,1 day,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,3 to 5 days
491,15,Male,Average weight,Never,0 days,2 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
492,14,Female,Average weight,Never,3 days,2 times per day,4 or more times per day,1 time per day,0 days,1 or 2 days
493,15,Male,Overweight,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
494,15,Male,NA,Sometimes,0 days,I did not eat fruit during the past 7 days,3 times per day,I did not drink carbonated soft drinks,0 days,0 days
495,14,Female,NA,Never,1 day,1 time per day,I did not eat vegetables during the past 7 days,1 time per day,0 days,1 or 2 days
496,16,Male,Average weight,Never,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,1 or 2 days
497,17,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,0 days,1 or 2 days
498,15,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
499,15,Female,Average weight,Sometimes,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
500,15,Female,Average weight,Never,1 day,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
501,15,Female,Overweight,Never,0 days,3 times per day,4 or more times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
502,17,Female,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,10 to 19 days,20 to 29 days
503,15,Male,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
504,17,Male,Average weight,Most of the time,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
505,16,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
506,16,Female,Average weight,Never,0 days,2 times per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
507,16,Female,Average weight,Never,0 days,4 or more times per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,All 30 days,1 or 2 days
508,17,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,3 times per day,1 to 3 times during the past 7 days,0 days,0 days
509,17,Female,NA,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
510,16,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,10 to 19 days,1 or 2 days
511,16,Female,Average weight,Rarely,7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,1 or 2 days,3 to 5 days
512,16,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 time per day,1 to 3 times during the past 7 days,All 30 days,1 or 2 days
513,13,Female,Overweight,Never,2 days,1 to 3 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,0 days
514,14,Male,Overweight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,0 days
515,12,Male,NA,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,0 days
516,14,Male,Overweight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
517,13,Male,NA,Rarely,7 days,1 time per day,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
518,15,Female,NA,Never,2 days,4 or more times per day,4 or more times per day,4 or more times per day,0 days,0 days
519,14,Female,NA,Never,0 days,4 to 6 times during the past 7 days,2 times per day,2 times per day,0 days,NA
520,13,Female,Average weight,Never,0 days,4 or more times per day,2 times per day,2 times per day,0 days,0 days
521,13,Female,NA,Never,0 days,1 time per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
522,13,Male,NA,Never,7 days,4 or more times per day,4 or more times per day,4 or more times per day,0 days,NA
523,14,Male,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,All 30 days
524,15,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
525,13,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
526,12,NA,NA,Sometimes,1 day,2 times per day,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
527,13,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 time per day,4 or more times per day,0 days,0 days
528,14,Male,Overweight,Never,1 day,I did not eat fruit during the past 7 days,4 or more times per day,1 time per day,0 days,0 days
529,13,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
530,14,Female,Overweight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,0 days
531,14,Male,NA,Never,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,3 to 5 days
532,14,Male,NA,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,10 to 19 days
533,15,Male,Average weight,Sometimes,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
534,15,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
535,14,Male,NA,Sometimes,0 days,2 times per day,4 or more times per day,4 or more times per day,0 days,0 days
536,13,Male,Average weight,Never,2 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
537,14,Male,NA,Never,3 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,6 to 9 days
538,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
539,13,Male,NA,Never,1 day,I did not eat fruit during the past 7 days,1 time per day,NA,0 days,NA
540,13,Male,NA,Never,0 days,1 time per day,1 time per day,2 times per day,0 days,0 days
541,16,Male,Average weight,Never,0 days,NA,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,20 to 29 days
542,13,Male,NA,Never,4 days,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
543,13,Female,Average weight,Never,1 day,2 times per day,1 time per day,4 or more times per day,0 days,0 days
544,14,Female,NA,Rarely,0 days,4 to 6 times during the past 7 days,4 or more times per day,I did not drink carbonated soft drinks,0 days,0 days
546,15,Male,Overweight,Sometimes,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,2 times per day,0 days,10 to 19 days
547,13,Male,NA,Never,1 day,4 or more times per day,1 time per day,4 or more times per day,0 days,0 days
548,13,Male,NA,NA,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,3 times per day,0 days,0 days
549,14,Male,NA,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,20 to 29 days
550,13,Male,Average weight,Rarely,0 days,4 or more times per day,4 or more times per day,1 time per day,0 days,0 days
551,13,Male,NA,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
552,14,Female,NA,Never,0 days,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
553,13,Male,NA,Sometimes,0 days,3 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,6 to 9 days
554,14,Female,NA,Never,1 day,4 or more times per day,I did not eat vegetables during the past 7 days,1 time per day,0 days,1 or 2 days
555,16,Female,NA,Never,0 days,1 time per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
556,14,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,3 times per day,0 days,0 days
557,15,Female,Average weight,Never,7 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 time per day,All 30 days,10 to 19 days
558,13,Female,Average weight,Never,2 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,1 or 2 days
559,14,Male,NA,Never,1 day,2 times per day,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
560,15,Male,Average weight,Rarely,0 days,4 to 6 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
561,13,Female,NA,Never,7 days,4 or more times per day,4 or more times per day,4 or more times per day,All 30 days,All 30 days
562,13,Female,NA,Rarely,0 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
563,13,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,4 or more times per day,4 or more times per day,0 days,3 to 5 days
564,13,Male,Overweight,Never,2 days,1 time per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
565,16,Male,NA,Never,2 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,6 to 9 days
566,15,Female,NA,Never,0 days,1 time per day,1 time per day,4 to 6 times during the past 7 days,0 days,0 days
567,13,Male,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
568,15,Female,NA,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
569,13,Female,Average weight,Never,3 days,1 time per day,1 to 3 times during the past 7 days,2 times per day,0 days,0 days
570,16,Male,NA,Never,2 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
571,14,Male,NA,NA,2 days,NA,NA,2 times per day,0 days,NA
572,14,Male,Average weight,Rarely,0 days,3 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
573,14,Female,Average weight,Rarely,1 day,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
574,15,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
575,14,Female,Overweight,Never,4 days,3 times per day,4 or more times per day,4 to 6 times during the past 7 days,0 days,All 30 days
576,13,Female,NA,Never,0 days,2 times per day,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
577,14,Male,Overweight,Never,1 day,1 time per day,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
578,15,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,NA,1 to 3 times during the past 7 days,0 days,1 or 2 days
579,14,Male,NA,Never,3 days,2 times per day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,20 to 29 days
580,15,Male,NA,Sometimes,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
581,14,Male,NA,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
582,14,Male,NA,Sometimes,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
583,13,Female,NA,Rarely,2 days,1 time per day,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,3 to 5 days
584,15,Male,NA,Never,1 day,NA,1 to 3 times during the past 7 days,NA,0 days,0 days
585,14,Male,Average weight,Never,2 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
586,13,Male,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
587,13,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,All 30 days,3 to 5 days
588,14,Male,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
589,13,Male,NA,Never,0 days,4 to 6 times during the past 7 days,3 times per day,1 time per day,0 days,1 or 2 days
590,13,Male,NA,Rarely,0 days,4 to 6 times during the past 7 days,4 or more times per day,4 to 6 times during the past 7 days,0 days,0 days
591,13,Female,NA,Most of the time,0 days,3 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
